site_no,site_name,window,enso_label,parameter,time_utc,value,approval_status
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-30T18:45:00+00:00,32200.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:10:00+00:00,33.6,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:15:00+00:00,33.56,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:20:00+00:00,33.56,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:05:00+00:00,33.55,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:25:00+00:00,33.47,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:30:00+00:00,33.43,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:00:00+00:00,33.38,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:35:00+00:00,33.38,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:40:00+00:00,33.3,Approved
08158000,"Colorado Rv at Austin, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-30T18:45:00+00:00,33.25,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:25:00+00:00,3950.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:20:00+00:00,3930.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:30:00+00:00,3930.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:35:00+00:00,3900.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:15:00+00:00,3890.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:40:00+00:00,3890.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:45:00+00:00,3840.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:10:00+00:00,3810.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:50:00+00:00,3810.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-10-26T20:55:00+00:00,3770.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:25:00+00:00,18.01,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:20:00+00:00,18.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:30:00+00:00,18.0,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:35:00+00:00,17.98,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:15:00+00:00,17.97,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:40:00+00:00,17.97,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:45:00+00:00,17.94,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:10:00+00:00,17.92,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:50:00+00:00,17.92,Approved
08158000,"Colorado Rv at Austin, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-10-26T20:55:00+00:00,17.89,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T08:00:00+00:00,188.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T09:00:00+00:00,188.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T10:00:00+00:00,188.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T07:00:00+00:00,187.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T11:00:00+00:00,187.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T06:00:00+00:00,186.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T12:00:00+00:00,186.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T05:00:00+00:00,184.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T13:00:00+00:00,184.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF1998,1997-98 El Nino,discharge_cfs,1997-10-20T14:00:00+00:00,183.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T19:45:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T20:00:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T20:15:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T21:45:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T22:00:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T22:15:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T22:30:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T22:45:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T23:00:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-27T23:15:00+00:00,1020.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T04:15:00+00:00,12.45,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T01:15:00+00:00,12.44,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T02:15:00+00:00,12.44,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T03:15:00+00:00,12.44,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T00:45:00+00:00,12.43,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T01:30:00+00:00,12.43,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T03:30:00+00:00,12.43,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T03:45:00+00:00,12.43,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T04:30:00+00:00,12.43,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-10-28T04:45:00+00:00,12.43,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-03T21:45:00+00:00,602.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-03T22:15:00+00:00,602.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-03T17:30:00+00:00,600.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-03T19:15:00+00:00,600.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-03T21:15:00+00:00,600.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-03T23:15:00+00:00,600.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-03T23:45:00+00:00,600.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-04T00:00:00+00:00,600.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-04T00:15:00+00:00,600.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,discharge_cfs,2023-09-04T00:45:00+00:00,600.0,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-03T21:45:00+00:00,10.17,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-03T22:15:00+00:00,10.17,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-03T17:30:00+00:00,10.16,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-03T19:15:00+00:00,10.16,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-03T21:15:00+00:00,10.16,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-03T23:15:00+00:00,10.16,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-03T23:45:00+00:00,10.16,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-04T00:00:00+00:00,10.16,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-04T00:15:00+00:00,10.16,Approved
08194500,"Nueces Rv nr Tilden, TX",DJF2024,2023-24 El Nino,gage_height_ft,2023-09-04T00:45:00+00:00,10.16,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T22:30:00+00:00,1140.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T22:45:00+00:00,1140.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T23:00:00+00:00,1140.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T23:15:00+00:00,1140.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T23:30:00+00:00,1140.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T21:45:00+00:00,1130.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T22:00:00+00:00,1130.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T22:15:00+00:00,1130.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-01-31T23:45:00+00:00,1130.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T00:00:00+00:00,1130.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T00:45:00+00:00,523.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T01:30:00+00:00,523.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T01:00:00+00:00,519.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T02:15:00+00:00,519.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-28T23:45:00+00:00,515.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T00:15:00+00:00,515.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T00:30:00+00:00,515.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T01:15:00+00:00,515.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T01:45:00+00:00,515.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-11-29T02:00:00+00:00,515.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T00:45:00+00:00,6.02,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T01:30:00+00:00,6.02,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T01:00:00+00:00,6.01,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T02:15:00+00:00,6.01,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-28T23:45:00+00:00,6.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T00:15:00+00:00,6.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T00:30:00+00:00,6.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T01:15:00+00:00,6.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T01:45:00+00:00,6.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2016,2015-16 El Nino,gage_height_ft,2015-11-29T02:00:00+00:00,6.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T16:45:00+00:00,221.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T16:30:00+00:00,219.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T17:00:00+00:00,207.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T14:45:00+00:00,189.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T15:00:00+00:00,187.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T17:15:00+00:00,187.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T17:30:00+00:00,167.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T16:15:00+00:00,163.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T15:15:00+00:00,153.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,discharge_cfs,2024-02-10T17:45:00+00:00,148.0,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,gage_height_ft,2024-02-10T16:45:00+00:00,5.11,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,gage_height_ft,2024-02-10T16:30:00+00:00,5.1,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,gage_height_ft,2024-02-10T17:00:00+00:00,5.04,Approved
08178880,"Medina Rv at Bandera, TX",DJF2024,2023-24 El Nino,gage_height_ft,2024-02-10T14:45:00+00:00,4.95,Approved
